category,base_keyword,variation,example_usage
family_friends,brother,soul-brother,"""you are a true soul-brother."""
family_friends,brother,cousin,"""want to see my cousin's new car?"""
family_friends,brother,homey,"""homey, you got the music?"""
family_friends,brother,"here are 20 variations of ""brother"", with usage examples",
family_friends,brother,dude-bro,"""dude-bro, want to play some game?"""
family_friends,brother,skipper,"""ready to sail, skipper? let's go."""
family_friends,brother,brotha,"""yo brotha, what's up?"""
family_friends,brother,champ,"""great job, champ! you did it!"""
family_friends,brother,lad,"""good work, lad. you deserve a break."""
family_friends,brother,"here are 20 variations of ""brother"", along with usage examples",
family_friends,brother,homes,"""what's good, homes, how's the family?"""
family_friends,brother,my friend,"""that was helpful, my friend, thanks."""
family_friends,brother,fam,"""alright fam, let's get this done."""
family_friends,brother,good man,"""you are a good man. thank you."""
family_friends,brother,dude (shortened),"""du, you coming?"""
family_friends,brother,boss,"""looking sharp today, boss! how's it going?"""
family_friends,brother,my man,"""you're my man; i knew i could count on you."""
family_friends,brother,"here are 20 natural, non-scam variations of ""brother"", along with usage examples",
family_friends,brother,kid,"""alright kid, you're doing great!"""
family_friends,brother,chief,"""alright chief, that's the plan."""
family_friends,brother,ace,"you're the ace, thanks a lot!"
family_friends,brother,family,"glad to see you, family, here today"
family_friends,brother,bud,"you wanna play some games, bud?"
family_friends,brother,son,"well done, my son, good job!"
family_friends,sister,baby sis,"""hey, baby sis, what are your plans?"""
family_friends,sister,my sister,"""my sister is coming to visit this weekend."""
family_friends,sister,my kin,"""we're family; she's my kin."""
family_friends,sister,sister of mine,"""sister of mine, you inspire me daily."""
family_friends,sister,sis-ter,"""sis-ter, did you see that movie last night?"""
family_friends,sister,little sister,"""my little sister is so creative, isn't she?"""
family_friends,sister,sister dearest,"""sister dearest, thank you for the gift."""
family_friends,sister,partner in crime,"""she's my partner in crime since forever."""
family_friends,sister,a sister,"""a sister's love is a powerful force."""
family_friends,sister,sis,"""hey, sis, wanna grab coffee sometime?"""
family_friends,sister,my sibling,"""my sibling and i have been close since childhood."""
family_friends,sister,sistah,"""what's up, sistah? how are you doing?"""
family_friends,sister,soul sister,"""she's my soul sister; we get each other."""
family_friends,sister,best sis,"""best sis, thanks for always being there for me!"""
family_friends,sister,one's sister,"""one's sister often understands best."""
family_friends,sister,favorite sister,"""you're my favorite sister, for real."""
family_friends,sister,big sis,"""big sis always knows how to cheer me up."""
family_friends,sister,"here are 20 variations of ""sister"" with usage examples",
family_friends,sister,my sis,"""my sis always knows how to make me laugh."""
family_friends,sister,my blood,"""she's my blood, and i'll always protect her."""
family_friends,sister,the sister,"""the sister's advice was invaluable to me."""
family_friends,sister,my female sibling,my female sibling has a beautiful voice
family_friends,sister,one of my own,"one of my own, we grew up together"
family_friends,sister,kid sister,kid sister is learning to ride her bike
family_friends,sister,sister from another mother,my sister from another mother is always there
family_friends,sister,sister mine,my sister mine and i share a special bond
family_friends,sister,my fellow,"my fellow, we both love this movie"
family_friends,sister,my partner in crime,my partner in crime is visiting this weekend
family_friends,sister,older sister,my older sister gave me some great advice
family_friends,sister,sister dear,"sister dear, your birthday is almost here!"
family_friends,sister,special lady,special lady is doing fantastic things lately!
family_friends,sister,"here are 20 variations of ""sister"" with examples",
family_friends,sister,sista,"hey sista, want to grab coffee soon?"
family_friends,sister,my girl,"my girl, did you hear the news?"
family_friends,sister,my beloved sister,"my beloved sister, happy to see you"
